collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD
Cryptovoxels Parcel,234.87565137185723,0.31,0.31,0.31,1,2022-09-01,491.7003721651751,491.7003721651751,1000.0
Somnium Space Land,164.37499789,23.0,8.0,33.0,2,2022-09-01,10000.0,36480.9953541904,52342.29768209928
Decentraland LAND,592.06303998999,10.0,1.5,19.26,4,2022-09-01,2379.195349186331,15861.302327908872,30548.86828355249
Sandbox's LANDs,4300.574164722592,1.485,0.094,81.26625,77,2022-09-01,149.0962418823434,2355.403395694468,128898.85603054245
Cryptovoxels Parcel,234.56565137185723,1.57,0.3,3.27,4,2022-08-31,465.1768773669297,2434.4256582202656,5070.427963299534
NFT Worlds,2784.3985231208394,1.25,0.63,6.2315,8,2022-08-31,976.8714424705526,1938.236989028874,9662.499037706742
Decentraland LAND,572.80303998999,2.25,1.75,9.778,5,2022-08-31,2713.531784640424,3488.826580251973,15161.665022979463
Sandbox's LANDs,4219.307914722592,4.44,0.9,99.9941,83,2022-08-31,1395.5306321007893,6884.617785030561,155049.81064372172
NFT Worlds,2778.167023120839,0.95,0.6221,3.1571,4,2022-08-30,947.0219322142368,1446.1836290042197,4806.048773820234
Cryptovoxels Parcel,231.29565137185725,0.3499,0.3499,0.3499,1,2022-08-30,532.6522650406068,532.6522650406068,1000.0
Somnium Space Land,131.37499789,3.3,3.3,3.3,1,2022-08-30,5023.585237593606,5023.585237593606,5023.585237593606
Decentraland LAND,563.02503998999,1.899,1.15,3.049,2,2022-08-30,1750.643340373529,2890.844959451593,4641.488299825122
Sandbox's LANDs,4119.313814722592,1.88,1.2,10.987,8,2022-08-30,1826.7582682158568,2861.9212868715085,16725.494244073016
Sandbox's LANDs,4108.326814722592,5.99,0.924,20.75050001,11,2022-08-29,1436.8520385962931,9314.657696095015,32267.747014351626
Cryptovoxels Parcel,230.94575137185723,1.0,0.75,2.57,3,2022-08-29,1166.276005354134,1555.034673805512,3996.4391116801658
NFT Worlds,2775.009923120839,1.2,0.6967,5.3667,6,2022-08-29,1083.3926572403002,1866.0416085666145,8345.40458391204
Decentraland LAND,559.97603998999,2.5,1.35,5.77,3,2022-08-29,2099.2968096374416,3887.58668451378,8972.550067857805
Sandbox's LANDs,4087.576314712592,2.0,1.1089,26.01649375,17,2022-08-28,1586.9148185742645,2862.1423366836766,37231.45410697063
Decentraland LAND,554.20603998999,1.85,1.6,10.378,6,2022-08-28,2289.713869346941,2647.481661432401,14851.656585051598
NFT Worlds,2769.643223120839,1.4,0.84,7.54,7,2022-08-28,1202.099781407144,2003.4996356785732,10790.276609297462
NFT Worlds,2762.103223120839,1.08,0.6126,12.2714,13,2022-08-27,915.1858412792316,1613.4520218438952,18332.699204495533
Cryptovoxels Parcel,228.37575137185723,0.97,0.65,3.22,4,2022-08-27,971.0590872208628,1449.11894554498,4810.477324386428
Decentraland LAND,543.82803998999,1.749,1.749,1.749,1,2022-08-27,2612.8959131527527,2612.8959131527527,2612.8959131527527
