tokenId,transaction_date,TokenPrice_USD,x,y
115792089237316195423570985008687907840679537089565840891312723532937705816091,2022-08-21,3566.7533921742697,-37,27
43215860598959184859848575143834562854808,2022-08-21,2512.9398899409625,126,-104
115792089237316195423570985008687907802227629627499794519951392893147897921556,2022-08-21,3226.2905683758163,-150,20
9187623906865338513511114400657741709439,2022-08-21,3080.3779296050507,27,127
115792089237316195423570985008687907820262595074309533083510247087031613128564,2022-08-20,2362.518493980193,-98,-140
43215860598959184859848575143834562854809,2022-08-20,2520.019726912206,126,-103
115792089237316195423570985008687907811755535901286071496925881901237407842278,2022-08-19,2975.135834896329,-123,-26
115792089237316195423570985008687907844762925492617102452873218822118924353428,2022-08-18,6472.200027514088,-26,-108
115792089237316195423570985008687907845443490226458979379799968036982460776340,2022-08-18,6657.1200283002045,-24,-108
115792089237316195423570985008687907845103207859538040916336593429550692564884,2022-08-18,6287.280026727971,-25,-108
8847341539944400050047739793225973497983,2022-08-18,3513.480014936219,26,127
35389366159777600200190959172903893991299,2022-08-17,3111.352379908005,103,-125
115792089237316195423570985008687907848506031528747425550970339503868374679437,2022-08-17,2565.3082048711467,-15,-115
115792089237316195423570985008687907835575301585751763939362104421461182644093,2022-08-16,3150.1337500519244,-53,-131
115792089237316195423570985008687907818220900872783902302729999442441003859900,2022-08-16,2250.095535751375,-104,-68
115792089237316195423570985008687907835575301585751763939362104421461182644093,2022-08-16,3281.389322970755,-53,-131
20076659648335369344339101838474324475897,2022-08-16,3167.0094665700603,58,-7
5444517870735015415413993718908291383198,2022-08-15,2712.618453342994,15,-98
115792089237316195423570985008687907811755535901286071496925881901237407842277,2022-08-15,3471.271497031848,-123,-27
115792089237316195423570985008687907824005701110439856181607367768781063454596,2022-08-15,3034.9914728147305,-87,-124
39813036929749800225214829069516880740339,2022-08-14,3193.339865642595,116,-13
34368519059014784809800835350608589356931,2022-08-14,3270.754165415749,100,-125
115792089237316195423570985008687907842380948924170533208629596570096546873357,2022-08-14,3674.2568494083703,-32,13
34368519059014784809800835350608589356931,2022-08-14,2786.9147918335375,100,-125
115792089237316195423570985008687907842380948924170533208629596570096546873484,2022-08-13,4358.134812966167,-32,140
115792089237316195423570985008687907807331865131313871471902012004624421093389,2022-08-13,3169.5525912481216,-135,13
37090777994382292517507832210062735048604,2022-08-12,3589.0918591041695,108,-100
37090777994382292517507832210062735048603,2022-08-12,3589.0918591041695,108,-101
30965695389805400175167089276290907242367,2022-08-12,3491.0292400029625,90,-129
34368519059014784809800835350608589356932,2022-08-12,3451.80419236248,100,-124
115792089237316195423570985008687907832853042650384256231655107562007036952564,2022-08-11,3756.424255356368,-61,-12
31646260123647277102093838491154443665278,2022-08-11,3474.6924362046407,92,-130
25521177519070384759753095557382615859071,2022-08-11,4695.53031919546,74,-129
37771342728224169444434581424926271471496,2022-08-10,3331.9092665017815,110,-120
44576990066642938713702073573561635700624,2022-08-09,3239.2945095432733,130,-112
43215860598959184859848575143834562854790,2022-08-08,3280.5929026885756,126,-122
115792089237316195423570985008687907842721231291091471672092971177528315084810,2022-08-08,5497.209728829505,-31,10
115792089237316195423570985008687907835915583952672702402825479028892950855573,2022-08-08,2979.133014333409,-52,-107
7145929705339707732730866756067132440542,2022-08-08,4433.233652281859,20,-34
7145929705339707732730866756067132440541,2022-08-08,4433.233652281859,20,-35
115792089237316195423570985008687907820262595074309533083510247087031613128564,2022-08-07,4585.626051681505,-98,-140
12590447576074723148144860474975423823983,2022-08-07,3566.598040196726,37,111
32326824857489154029020587706017980088195,2022-08-07,3339.015117631792,94,-125
31646260123647277102093838491154443665278,2022-08-06,2574.9732311402313,92,-130
12590447576074723148144860474975423823983,2022-08-06,2031.2566163568986,37,111
43556142965880123323311949751266331066353,2022-08-05,3280.1346920759574,127,-15
115792089237316195423570985008687907805970735663630117618048513574897348247402,2022-08-05,2959.4104110729754,-140,-150
115792089237316195423570985008687907817200053772021086912339875620145699225535,2022-08-04,2958.0601047181312,-107,-65
20416942015256307807802476445906092687356,2022-08-04,3054.518586393722,59,-4
115792089237316195423570985008687907843061513658012410135556345784960083296267,2022-08-04,5305.216492157518,-30,11
20076659648335369344339101838474324475900,2022-08-04,3054.518586393722,58,-4
14291859410679415465461733512134264881041,2022-08-04,4822.924083779562,41,-111
115792089237316195423570985008687907811074971167444194569999132686373871419360,2022-08-04,5305.216492157518,-125,-32
115792089237316195423570985008687907835235019218830825475898729814029414432628,2022-08-04,2668.6846596913574,-54,-140
23819765684465692442436222520223774801887,2022-08-03,3509.0922893305883,69,-33
115792089237316195423570985008687907843061513658012410135556345784960083296267,2022-08-01,4901.700728830276,-30,11
23819765684465692442436222520223774801887,2022-08-01,2124.070315826453,69,-33
34708801425935723273264209958040357568476,2022-08-01,3088.071459163074,101,-36
10208471007628153903901238222953046343705,2022-08-01,3267.8004858868508,30,25
20076659648335369344339101838474324476036,2022-08-01,4901.700728830276,59,132
23479483317544753978972847912792006590430,2022-08-01,2450.850364415138,68,-34
34708801425935723273264209958040357568476,2022-07-31,2778.4379873570692,101,-36
21778071482940061661655974875633165533090,2022-07-30,3536.1760780884106,63,-94
46278401901247631031018946610720476757998,2022-07-30,3116.1704902694805,135,-18
45938119534326692567555572003288708546542,2022-07-29,3423.1511530188623,134,-18
115792089237316195423570985008687907802908194361341671446878142108011434344322,2022-07-29,3243.7117780622284,-149,-126
12930729942995661611608235082407192035323,2022-07-28,5175.653891794331,37,-5
47979813735852323348335819647879317815237,2022-07-28,3536.696826059459,140,-59
45597837167405754104092197395856940334956,2022-07-28,3881.740418845748,133,-148
21437789116019123198192600268201397321634,2022-07-27,3168.4747554331284,62,-94
2722258935367507707706996859454145691715,2022-07-27,3193.0365752426874,8,67
21778071482940061661655974875633165533082,2022-07-27,3152.1002088934224,63,-102
115792089237316195423570985008687907827068242412728302352777739235666977357803,2022-07-27,3274.909307941218,-78,-21
115792089237316195423570985008687907829790501348095810060484736095121123049458,2022-07-27,3438.654773338279,-70,-14
115792089237316195423570985008687907829450218981174871597021361487689354838156,2022-07-27,3438.654773338279,-70,140
8507059173023461586584365185794205286372,2022-07-27,4912.363961911827,24,-28
